R_Name,hierarchy
SA-LTIA 1492-1998 Reg3(2)0(1)(a),3.20.1.1
SA-LTIA 1492-1998 Reg3(2)0(1)(b),3.20.1.2
SA-LTIA 1492-1998 Reg3(2)0(1)(c),3.20.1.3
SA-LTIA 1492-1998 Reg3(2)0(1)(d),3.20.1.4
SA-LTIA 1492-1998 Reg3(2)1(1),3.21.1
SA-LTIA 1492-1998 Reg3(2)1(2)(a),3.21.2.1
SA-LTIA 1492-1998 Reg3(2)1(2)(b),3.21.2.2
SA-LTIA 1492-1998 Reg3(2)1(3),3.21.3
SA-LTIA 1492-1998 Reg3(2)1(4),3.21.4
SA-LTIA 1492-1998 Reg3(2)1(5),3.21.5
SA-LTIA 1492-1998 Reg3(2)2(1),3.22.1
SA-LTIA 1492-1998 Reg3(2)2(2),3.22.2
SA-LTIA 1492-1998 Reg3(2)2(3),3.22.3
SA-LTIA 1492-1998 Reg3(2)3 ,NULL
SA-LTIA 1492-1998 Reg3(2)4,3.24
SA-LTIA 1492-1998 Reg3(3)(1)(a),3.3.1.1
SA-LTIA 1492-1998 Reg3(3)(1)(b)(i),3.3.1.2.9
SA-LTIA 1492-1998 Reg3(3)(1)(b)(ii),3.3.1.2.34
SA-LTIA 1492-1998 Reg3(3)(1)(b)(iii),NULL
SA-LTIA 1492-1998 Reg3(3)(2),3.3.2
SA-LTIA 1492-1998 Reg3(3)(3),3.3.3
SA-LTIA 1492-1998 Reg3(4)(1)(a),3.4.1.1
SA-LTIA 1492-1998 Reg3(4)(1)(b),3.4.1.2
SA-LTIA 1492-1998 Reg3(4)(1)(c),3.4.1.3
SA-LTIA 1492-1998 Reg3(4)(1A),3.4.20
SA-LTIA 1492-1998 Reg3(4)(2),3.4.2
SA-LTIA 1492-1998 Reg3(5)(1)(a)(i),3.5.1.1.9
SA-LTIA 1492-1998 Reg3(5)(1)(a)(ii),3.5.1.1.34
SA-LTIA 1492-1998 Reg3(5)(1)(b)(i),3.5.1.2.9
SA-LTIA 1492-1998 Reg3(5)(1)(b)(ii),3.5.1.2.34
SA-LTIA 1492-1998 Reg3(5)(2)(a)(i)(aa),3.5.2.1.9.26
SA-LTIA 1492-1998 Reg3(5)(2)(a)(i)(bb),3.5.2.1.9.27
SA-LTIA 1492-1998 Reg3(5)(2)(a)(i)(cc),3.5.2.1.9.28
SA-LTIA 1492-1998 Reg3(5)(2)(a)(ii),3.5.2.1.34
SA-LTIA 1492-1998 Reg3(5)(2)(b)(i),3.5.2.2.9
SA-LTIA 1492-1998 Reg3(5)(2)(b)(ii),3.5.2.2.34
SA-LTIA 1492-1998 Reg3(6)(1),3.6.1
SA-LTIA 1492-1998 Reg3(6)(2),3.6.2
SA-LTIA 1492-1998 Reg3(7)(1),3.7.1
SA-LTIA 1492-1998 Reg3(7)(2),3.7.2
SA-LTIA 1492-1998 Reg3(8) ,NULL
SA-LTIA 1492-1998 Reg3(9)(1)(a),3.9.1.1
SA-LTIA 1492-1998 Reg3(9)(1)(b),3.9.1.2
SA-LTIA 1492-1998 Reg3(9)(2)(a),3.9.2.1
SA-LTIA 1492-1998 Reg3(9)(2)(b),3.9.2.2
SA-LTIA 1492-1998 Reg3(9)(3),3.9.3
SA-LTIA 1492-1998 Reg3(9)A(1)(a),3.20.1.1
SA-LTIA 1492-1998 Reg3(9)A(1)(b),3.20.1.2
SA-LTIA 1492-1998 Reg3(9)A(2),3.20.2
SA-LTIA 1492-1998 Reg4(1),4.1
SA-LTIA 1492-1998 Reg4(1)A,4.2
SA-LTIA 1492-1998 Reg4(2)(1)(a),4.2.1.1
SA-LTIA 1492-1998 Reg4(2)(1)(b)(i),4.2.1.2.9
SA-LTIA 1492-1998 Reg4(2)(1)(b)(ii),4.2.1.2.34
SA-LTIA 1492-1998 Reg4(2)(1)(c)(i),4.2.1.3.9
SA-LTIA 1492-1998 Reg4(2)(1)(c)(ii),4.2.1.3.34
SA-LTIA 1492-1998 Reg4(2)(1)(d),4.2.1.4
SA-LTIA 1492-1998 Reg4(2)(2)(a),4.2.2.1
SA-LTIA 1492-1998 Reg4(2)(2)(b),4.2.2.2
SA-LTIA 1492-1998 Reg4(2)(2)(c),4.2.2.3
SA-LTIA 1492-1998 Reg4(2)(2)(d),4.2.2.4
SA-LTIA 1492-1998 Reg4(2)(2)(e),4.2.2.5
SA-LTIA 1492-1998 Reg4(2)(3)(a),4.2.3.1
SA-LTIA 1492-1998 Reg4(2)(3)(b),4.2.3.2
SA-LTIA 1492-1998 Reg4(2)(3)(c)(i),4.2.3.3.9
SA-LTIA 1492-1998 Reg4(2)(3)(c)(ii),4.2.3.3.34
SA-LTIA 1492-1998 Reg4(2)(3)(c)(iii),NULL
SA-LTIA 1492-1998 Reg4(2)(4)(a),4.2.4.1
SA-LTIA 1492-1998 Reg4(2)(4)(b),4.2.4.2
SA-LTIA 1492-1998 Reg4(2)(5),4.2.5
SA-LTIA 1492-1998 Reg4(2)A(1),4.20.1
SA-LTIA 1492-1998 Reg4(2)A(2),4.20.2
SA-LTIA 1492-1998 Reg4(3) ,NULL
SA-LTIA 1492-1998 Reg5(1) ,NULL
SA-LTIA 1492-1998 Reg5(1)1(1),5.11.1
SA-LTIA 1492-1998 Reg5(1)1(2),5.11.2
SA-LTIA 1492-1998 Reg5(1)2(1),5.12.1
SA-LTIA 1492-1998 Reg5(1)2(2)(a),5.12.2.1
SA-LTIA 1492-1998 Reg5(1)2(2)(b),5.12.2.2
SA-LTIA 1492-1998 Reg5(1)2(2)(c),5.12.2.3
SA-LTIA 1492-1998 Reg5(1)2(3)(a),5.12.3.1
SA-LTIA 1492-1998 Reg5(1)2(3)(b),5.12.3.2
SA-LTIA 1492-1998 Reg5(1)3(1)(a),5.13.1.1
SA-LTIA 1492-1998 Reg5(1)3(1)(b),5.13.1.2
SA-LTIA 1492-1998 Reg5(1)3(1)(c),5.13.1.3
SA-LTIA 1492-1998 Reg5(1)3(2)(a),5.13.2.1
SA-LTIA 1492-1998 Reg5(1)3(2)(b),5.13.2.2
SA-LTIA 1492-1998 Reg5(1)3(2)(c),5.13.2.3
SA-LTIA 1492-1998 Reg5(1)3(2)(d),5.13.2.4
SA-LTIA 1492-1998 Reg5(1)4 ,NULL
SA-LTIA 1492-1998 Reg5(1)5(1),5.15.1
SA-LTIA 1492-1998 Reg5(1)5(2)(a),5.15.2.1
SA-LTIA 1492-1998 Reg5(1)5(2)(b),5.15.2.2
SA-LTIA 1492-1998 Reg5(1)5(2)(c),5.15.2.3
SA-LTIA 1492-1998 Reg6(1) ,NULL
SA-LTIA 1492-1998 Reg5(1)5(3),5.15.3
SA-LTIA 1492-1998 Reg5(1)5(4)(a),5.15.4.1
SA-LTIA 1492-1998 Reg5(1)5(4)(b),5.15.4.2
SA-LTIA 1492-1998 Reg5(1)5(5),5.15.5
SA-LTIA 1492-1998 Reg5(1)5(6),5.15.6
SA-LTIA 1492-1998 Reg5(1)5(7),5.15.7
SA-LTIA 1492-1998 Reg5(2)(1),5.2.1
SA-LTIA 1492-1998 Reg5(2)(2)(a),5.2.2.1
SA-LTIA 1492-1998 Reg5(2)(2)(b),5.2.2.2
SA-LTIA 1492-1998 Reg5(3)(1)(a),5.3.1.1
SA-LTIA 1492-1998 Reg5(3)(1)(b),5.3.1.2
SA-LTIA 1492-1998 Reg5(3)(2)(a),5.3.2.1
SA-LTIA 1492-1998 Reg5(3)(2)(b),5.3.2.2
SA-LTIA 1492-1998 Reg5(3)(2)(c),5.3.2.3
SA-LTIA 1492-1998 Reg5(3)(3),5.3.3
SA-LTIA 1492-1998 Reg5(3)(4)(a),5.3.4.1
SA-LTIA 1492-1998 Reg5(3)(4)(b),5.3.4.2
SA-LTIA 1492-1998 Reg5(3)(4)(c),5.3.4.3
SA-LTIA 1492-1998 Reg5(3)(5),5.3.5
SA-LTIA 1492-1998 Reg5(4)(1)(a),5.4.1.1
SA-LTIA 1492-1998 Reg5(4)(1)(b),5.4.1.2
SA-LTIA 1492-1998 Reg5(4)(2)(a),5.4.2.1
SA-LTIA 1492-1998 Reg5(4)(2)(b),5.4.2.2
SA-LTIA 1492-1998 Reg5(4)(2)(c),5.4.2.3
SA-LTIA 1492-1998 Reg5(4)(3),5.4.3
SA-LTIA 1492-1998 Reg5(4)(4)(a),5.4.4.1
SA-LTIA 1492-1998 Reg5(4)(4)(b),5.4.4.2
SA-LTIA 1492-1998 Reg5(4)(4)(c),5.4.4.3
SA-LTIA 1492-1998 Reg5(4)(4)(d),5.4.4.4
SA-LTIA 1492-1998 Reg5(4)(5),5.4.5
SA-LTIA 1492-1998 Reg5(4)(6),5.4.6
SA-LTIA 1492-1998 Reg5(4)A(1),5.20.1
SA-LTIA 1492-1998 Reg5(4)A(2),5.20.2
SA-LTIA 1492-1998 Reg5(5)(a),5.5.1
SA-LTIA 1492-1998 Reg5(5)(b),5.5.2
SA-LTIA 1492-1998 Reg5(6)(a),5.6.1
SA-LTIA 1492-1998 Reg5(6)(b),5.6.2
SA-LTIA 1492-1998 Reg5(6)(c),5.6.3
SA-LTIA 1492-1998 Reg5(7) ,NULL
SA-LTIA 1492-1998 Reg5(8)(1),5.8.1
SA-LTIA 1492-1998 Reg5(8)(2),5.8.2
SA-LTIA 1492-1998 Reg5(8)(3),5.8.3
SA-LTIA 1492-1998 Reg5(9)(a),5.9.1
SA-LTIA 1492-1998 Reg5(9)(b),5.9.2
SA-LTIA 1492-1998 Reg6(2)(1)(a),6.2.1.1
SA-LTIA 1492-1998 Reg6(2)(1)(b),6.2.1.2
SA-LTIA 1492-1998 Reg6(2)(1)(c),6.2.1.3
SA-LTIA 1492-1998 Reg6(2)(1A)(a),6.2.20.1
SA-LTIA 1492-1998 Reg6(2)(1A)(b),6.2.20.2
SA-LTIA 1492-1998 Reg6(2)(1A)(c),6.2.20.3
SA-LTIA 1492-1998 Reg6(2)(2),6.2.2
SA-LTIA 1492-1998 Reg6(2)(3),6.2.3
SA-LTIA 1492-1998 Reg6(2)(4)(a),6.2.4.1
SA-LTIA 1492-1998 Reg6(2)(4)(b),6.2.4.2
SA-LTIA 1492-1998 Reg6(2)A(1)(a),6.20.1.1
SA-LTIA 1492-1998 Reg6(2)A(1)(b)(i),6.20.1.2.9
SA-LTIA 1492-1998 Reg6(2)A(1)(b)(ii),6.20.1.2.34
SA-LTIA 1492-1998 Reg6(2)A(1)(c),6.20.1.3
SA-LTIA 1492-1998 Reg6(2)A(1)(d),6.20.1.4
SA-LTIA 1492-1998 Reg6(2)A(2),6.20.2
SA-LTIA 1492-1998 Reg6(2)A(3),6.20.3
SA-LTIA 1492-1998 Reg6(3)(1)(a),6.3.1.1
SA-LTIA 1492-1998 Reg6(3)(1)(b),6.3.1.2
SA-LTIA 1492-1998 Reg6(3)(1)(c),6.3.1.3
SA-LTIA 1492-1998 Reg6(3)(1)(d),6.3.1.4
SA-LTIA 1492-1998 Reg6(3)(1)(e),6.3.1.5
SA-LTIA 1492-1998 Reg6(3)(1)(f),6.3.1.6
SA-LTIA 1492-1998 Reg6(3)(1)(g)(i),6.3.1.7.9
SA-LTIA 1492-1998 Reg6(3)(1)(g)(ii),6.3.1.7.34
SA-LTIA 1492-1998 Reg6(3)(1)(g)(iii),NULL
SA-LTIA 1492-1998 Reg6(3)(1)(g)(iv),NULL
SA-LTIA 1492-1998 Reg6(3)(1)(g)(v),6.3.1.7.22
SA-LTIA 1492-1998 Reg6(3)(1)(h),6.3.1.8
SA-LTIA 1492-1998 Reg6(3)(1)(i),6.3.1.9
SA-LTIA 1492-1998 Reg6(3)(1)(j),6.3.1.10
SA-LTIA 1492-1998 Reg6(3)(1)(k),6.3.1.11
SA-LTIA 1492-1998 Reg6(3)(1)(l),6.3.1.12
SA-LTIA 1492-1998 Reg6(3)(1)(m),6.3.1.13
SA-LTIA 1492-1998 Reg6(3)(1)(n),6.3.1.14
SA-LTIA 1492-1998 Reg6(3)(1)(o),6.3.1.15
SA-LTIA 1492-1998 Reg6(3)(1)(p),6.3.1.16
SA-LTIA 1492-1998 Reg6(3)(1)(q),6.3.1.17
SA-LTIA 1492-1998 Reg6(3)(1)(qA),6.3.1.0
SA-LTIA 1492-1998 Reg6(3)(1)(r),6.3.1.18
SA-LTIA 1492-1998 Reg6(3)(1)(s)(i),6.3.1.19.9
SA-LTIA 1492-1998 Reg6(3)(1)(s)(ii),6.3.1.19.34
SA-LTIA 1492-1998 Reg6(3)(1)(t),6.3.1.20
SA-LTIA 1492-1998 Reg6(3)(2)(a),6.3.2.1
SA-LTIA 1492-1998 Reg6(3)(2)(b),6.3.2.2
SA-LTIA 1492-1998 Reg6(3)(3)(a),6.3.3.1
SA-LTIA 1492-1998 Reg6(3)(3)(b),6.3.3.2
SA-LTIA 1492-1998 Reg6(3)(4)(a),6.3.4.1
SA-LTIA 1492-1998 Reg6(3)(4)(b),6.3.4.2
SA-LTIA 1492-1998 Reg6(3)(4)(c),6.3.4.3
SA-LTIA 1492-1998 Reg6(3)(4)(d),6.3.4.4
SA-LTIA 1492-1998 Reg6(3)(5)(a),6.3.5.1
SA-LTIA 1492-1998 Reg6(3)(5)(b),6.3.5.2
SA-LTIA 1492-1998 Reg6(3)(5)(c),6.3.5.3
SA-LTIA 1492-1998 Reg6(3)(5)(d),6.3.5.4
SA-LTIA 1492-1998 Reg6(3)(6),6.3.6
SA-LTIA 1492-1998 Reg6(3)(7),6.3.7
SA-LTIA 1492-1998 Reg6(5)(1)(a),6.5.1.1
SA-LTIA 1492-1998 Reg6(5)(1)(b),6.5.1.2
SA-LTIA 1492-1998 Reg6(5)(1)(c),6.5.1.3
SA-LTIA 1492-1998 Reg6(6)(1),6.6.1
SA-LTIA 1492-1998 Reg6(6)(2)(a),6.6.2.1
SA-LTIA 1492-1998 Reg6(6)(2)(b),6.6.2.2
SA-LTIA 1492-1998 Reg6(6)(2)(c),6.6.2.3
SA-LTIA 1492-1998 Reg6(6)(2)(d),6.6.2.4
SA-LTIA 1492-1998 Reg6(7) ,NULL
SA-LTIA 1492-1998 Reg7(1) ,NULL
SA-LTIA 1492-1998 Reg7(2)(1),7.2.1
SA-LTIA 1492-1998 Reg7(2)(2),7.2.2
SA-LTIA 1492-1998 Reg7(3)(1),7.3.1
SA-LTIA 1492-1998 Reg7(3)(10)(a)(i),7.3.10.1.9
SA-LTIA 1492-1998 Reg7(3)(10)(a)(ii),7.3.10.1.34
SA-LTIA 1492-1998 Reg7(3)(10)(a)(iii),NULL
SA-LTIA 1492-1998 Reg7(3)(10)(b),7.3.10.2
SA-LTIA 1492-1998 Reg7(3)(11),7.3.11
SA-LTIA 1492-1998 Reg7(3)(2)(a),7.3.2.1
SA-LTIA 1492-1998 Reg7(3)(2)(b),7.3.2.2
SA-LTIA 1492-1998 Reg7(3)(3),7.3.3
SA-LTIA 1492-1998 Reg7(3)(4),7.3.4
SA-LTIA 1492-1998 Reg7(3)(5)(a),7.3.5.1
SA-LTIA 1492-1998 Reg7(3)(5)(b),7.3.5.2
SA-LTIA 1492-1998 Reg7(3)(6),7.3.6
SA-LTIA 1492-1998 Reg7(3)(7),7.3.7
SA-LTIA 1492-1998 Reg7(3)(8),7.3.8
SA-LTIA 1492-1998 Reg7(3)(9),7.3.9
SA-LTIA 1492-1998 Reg7(4) ,NULL
SA-LTIA 1492-1998 Reg7(5)(1)(a)(i),7.5.1.1.9
SA-LTIA 1492-1998 Reg7(5)(1)(a)(ii),7.5.1.1.34
SA-LTIA 1492-1998 Reg7(5)(1)(b)(i),7.5.1.2.9
SA-LTIA 1492-1998 Reg7(5)(1)(b)(ii),7.5.1.2.34
SA-LTIA 1492-1998 Reg7(5)(1)(c),7.5.1.3
SA-LTIA 1492-1998 Reg7(6)(1),7.6.1
SA-LTIA 1492-1998 Reg7(6)(2),7.6.2
SA-LTIA 1492-1998 Reg7(6)(3),7.6.3
SA-LTIA 1492-1998 Reg7(6)(4)(a),7.6.4.1
SA-LTIA 1492-1998 Reg7(6)(4)(b),7.6.4.2
SA-LTIA 1492-1998 Reg7(6)(4)(c),7.6.4.3
SA-LTIA 1492-1998 Reg7(7)(1),7.7.1
SA-LTIA 1492-1998 Reg8(1)(1),8.1.1
SA-LTIA 1492-1998 Reg8(1)(2)(a),8.1.2.1
SA-LTIA 1492-1998 Reg8(1)(2)(b),8.1.2.2
SA-LTIA 1492-1998 Reg8(1)(2)(c),8.1.2.3
SA-LTIA 1492-1998 Reg8(1)(2)(d),8.1.2.4
SA-LTIA 1492-1998 Reg8(1)(2)(e),8.1.2.5
SA-LTIA 1492-1998 Reg8(1)(2)(f),8.1.2.6
SA-LTIA 1492-1998 Reg8(1)(2)(g),8.1.2.7
SA-LTIA 1492-1998 Reg8(1)(3),8.1.3
SA-LTIA 1492-1998 Reg8(1)(4),8.1.4
SA-LTIA 1492-1998 Reg8(1)(5)(a),8.1.5.1
SA-LTIA 1492-1998 Reg8(1)(5)(b),8.1.5.2
SA-LTIA 1492-1998 Reg8(1)(5)(c),8.1.5.3
SA-LTIA 1492-1998 Reg8(1)(6),8.1.6
SA-LTIA 1492-1998 Reg8(1)(7),8.1.7
SA-LTIA 1492-1998 Reg8(2)(1),8.2.1
SA-LTIA 1492-1998 Reg8(2)(2),8.2.2
SA-LTIA 1492-1998 Reg8(2)(3)(a),8.2.3.1
SA-LTIA 1492-1998 Reg8(2)(3)(b),8.2.3.2
SA-LTIA 1492-1998 Reg8(2)(4),8.2.4
SA-LTIA 1492-1998 Reg8(2)(5)(a),8.2.5.1
SA-LTIA 1492-1998 Reg8(2)(5)(b),8.2.5.2
SA-LTIA 1492-1998 Reg8(2)(6),8.2.6
SA-LTIA 1492-1998 Reg8(3)(1)(a),8.3.1.1
SA-LTIA 1492-1998 Reg8(3)(1)(b),8.3.1.2
SA-LTIA 1492-1998 Reg8(3)(1)(c),8.3.1.3
SA-LTIA 1492-1998 Reg8(4)(1)(a),8.4.1.1
SA-LTIA 1492-1998 Reg8(4)(1)(b),8.4.1.2
SA-LTIA 1492-1998 Reg8(4)(1)(c),8.4.1.3
SA-LTIA 1492-1998 Reg8(4)(1)(d),8.4.1.4
SA-LTIA 1492-1998 Reg9(1) ,NULL
SA-LTIA 1492-1998 Reg9(2),9.2
SA-LTIA 1492-1998 Reg9(3)(1)(a)(i),9.3.1.1.9
SA-LTIA 1492-1998 Reg9(3)(1)(a)(ii),9.3.1.1.34
SA-LTIA 1492-1998 Reg9(3)(1)(b),9.3.1.2
SA-LTIA 1492-1998 Reg9(4)(a),9.4.1
SA-LTIA 1492-1998 Reg9(4)(b),9.4.2
SA-LTIA 1492-1998 Reg9(4)(c),9.4.3
SA-LTIA 1492-1998 Reg9(4)(d)(i),9.4.4.9
SA-LTIA 1492-1998 Reg9(4)(d)(ii)(aa),9.4.4.34.26
SA-LTIA 1492-1998 Reg9(4)(d)(ii)(bb),9.4.4.34.27
SA-LTIA 1492-1998 Reg9(4)(d)(iii)(aa),9.4.4.3.26
SA-LTIA 1492-1998 Reg9(4)(e),9.4.5
SA-LTIA 1492-1998 Reg9(4)(f),9.4.6
SA-LTIA 1492-1998 Reg9(5),9.5
SA-LTIA 52-1998 Sec10,10
SA-LTIA 52-1998 Sec11,11
SA-LTIA 52-1998 Sec12,12
SA-LTIA 52-1998 Sec13,13
SA-LTIA 52-1998 Sec14,14
SA-LTIA 52-1998 Sec15,15
SA-LTIA 52-1998 Sec15A,20
SA-LTIA 52-1998 Sec16,16
SA-LTIA 52-1998 Sec17,17
SA-LTIA 52-1998 Sec18,18
SA-LTIA 52-1998 Sec19,19
SA-LTIA 52-1998 Sec2(1),2.1
SA-LTIA 52-1998 Sec2(2),2.2
SA-LTI 52-1998 Sec 2 (3),3
SA-LTIA 52-1998 Sec20,20
SA-LTIA 52-1998 Sec21,21
SA-LTIA 52-1998 Sec22,22
SA-LTIA 52-1998 Sec23,23
SA-LTIA 52-1998 Sec24,24
SA-LTIA 52-1998 Sec25,25
SA-LTIA 52-1998 Sec26,26
SA-LTIA 52-1998 Sec27,27
SA-LTIA 52-1998 Sec28,28
SA-LTIA 52-1998 Sec29,29
SA-LTIA 52-1998 Sec3(1),3.1
SA-LTIA 52-1998 Sec3(2)(a),3.2.1
SA-LTIA 52-1998 Sec3(2)(b)(i),3.2.2.9
SA-LTIA 52-1998 Sec3(2)(b)(ii),3.2.2.34
SA-LTIA 52-1998 Sec3(3),3.3
SA-LTIA 52-1998 Sec3(4),3.4
SA-LTIA 52-1998 Sec3(5),3.5
SA-LTIA 52-1998 Sec30,30
SA-LTIA 52-1998 Sec31,31
SA-LTIA 52-1998 Sec32,32
SA-LTIA 52-1998 Sec33,33
SA-LTIA 52-1998 Sec34,34
SA-LTIA 52-1998 Sec35,35
SA-LTIA 52-1998 Sec36(1)(a),36.1.1
SA-LTIA 52-1998 Sec36(1)(b),36.1.2
SA-LTIA 52-1998 Sec36(1)(c),36.1.3
SA-LTIA 52-1998 Sec36(2)(a),36.2.1
SA-LTIA 52-1998 Sec36(2)(b),36.2.2
SA-LTIA 52-1998 Sec36(3)(a),36.3.1
SA-LTIA 52-1998 Sec36(3)(b),36.3.2
SA-LTIA 52-1998 Sec37,37
SA-LTIA 52-1998 Sec38,38
SA-LTIA 52-1998 Sec39,39
SA-LTIA 52-1998 Sec4(1),4.1
SA-LTIA 52-1998 Sec4(5),4.5
SA-LTIA 52-1998 Sec4(7),4.7
SA-LTIA 52-1998 Sec40,40
SA-LTIA 52-1998 Sec41,41
SA-LTIA 52-1998 Sec42,42
SA-LTIA 52-1998 Sec43,43
SA-LTIA 52-1998 Sec44(1)(c)(ii)(aa),44.1.3.34.26
SA-LTIA 52-1998 Sec44(1)(c)(ii)(bb),44.1.3.34.27
SA-LTIA 52-1998 Sec44(1)(a),44.1.1
SA-LTIA 52-1998 Sec44(1)(b)(i),44.1.2.9
SA-LTIA 52-1998 Sec44(1)(b)(ii),44.1.2.34
SA-LTIA 52-1998 Sec44(2)(a),44.2.1
SA-LTIA 52-1998 Sec44(2)(b),44.2.2
SA-LTIA 52-1998 Sec44(2)(c),44.2.3
SA-LTIA 52-1998 Sec44(3),44.3
SA-LTIA 52-1998 Sec44(4),44.4
SA-LTIA 52-1998 Sec44(5),44.5
SA-LTIA 52-1998 Sec44(b)(iii),NULL
SA-LTIA 52-1998 Sec44(c)(i),44.3.9
SA-LTIA 52-1998 Sec45(1),45.1
SA-LTIA 52-1998 Sec45(2),45.2
SA-LTIA 52-1998 Sec46(1)(a),46.1.1
SA-LTIA 52-1998 Sec46(1)(b),46.1.2
SA-LTIA 52-1998 Sec46(1)(c)(i),46.1.3.9
SA-LTIA 52-1998 Sec46(1)(c)(ii),46.1.3.34
SA-LTIA 52-1998 Sec46(2),46.2
SA-LTIA 52-1998 Sec47(1),47.1
SA-LTIA 52-1998 Sec47(2),47.2
SA-LTIA 52-1998 Sec47(2)(a),47.2.1
SA-LTIA 52-1998 Sec47(2)(b),47.2.2
SA-LTIA 52-1998 Sec47(3),47.3
SA-LTIA 52-1998 Sec47A(1)(a),20.1.1
SA-LTIA 52-1998 Sec47A(1)(b),20.1.2
SA-LTIA 52-1998 Sec48,48
SA-LTIA 52-1998 Sec49(a),49.1
SA-LTIA 52-1998 Sec49(b),49.2
SA-LTIA 52-1998 Sec49A(1)(a),20.1.1
SA-LTIA 52-1998 Sec49A(1)(b),20.1.2
SA-LTIA 52-1998 Sec49A(1)(c),20.1.3
SA-LTIA 52-1998 Sec49A(1)(d),20.1.4
SA-LTIA 52-1998 Sec49A(1)(e),20.1.5
SA-LTIA 52-1998 Sec49A(1A),20.2
SA-LTIA 52-1998 Sec49A(2)(a),20.2.1
SA-LTIA 52-1998 Sec49A(2)(b),20.2.2
SA-LTIA 52-1998 Sec49A(2)(c),20.2.3
SA-LTIA 52-1998 Sec49A(2)(d),20.2.4
SA-LTIA 52-1998 Sec49A(2)(e),20.2.5
SA-LTIA 52-1998 Sec49A(2)(f),20.2.6
SA-LTIA 52-1998 Sec49A(2)(g),20.2.7
SA-LTIA 52-1998 Sec49A(2)(h)(i)(aa),20.2.8.9.26
SA-LTIA 52-1998 Sec49A(2)(h)(i)(bb),20.2.8.9.27
SA-LTIA 52-1998 Sec49A(2)(h)(ii),20.2.8.34
SA-LTIA 52-1998 Sec49A(2)(h)(iii),20.2.8.3
SA-LTIA 52-1998 Sec49A(2)(h)(iv),20.2.8.4
SA-LTIA 52-1998 Sec49A(3)(a),20.3.1
SA-LTIA 52-1998 Sec49A(3)(b),20.3.2
SA-LTIA 52-1998 Sec49A(3)(c),20.3.3
SA-LTIA 52-1998 Sec49A(4)(a),20.4.1
SA-LTIA 52-1998 Sec49A(4)(b),20.4.2
SA-LTIA 52-1998 Sec49A(5)(a),20.5.1
SA-LTIA 52-1998 Sec49A(5)(b),20.5.2
SA-LTIA 52-1998 Sec49A(5)(c),20.5.3
SA-LTIA 52-1998 Sec49A(6),20.6
SA-LTIA 52-1998 Sec5,5
SA-LTIA 52-1998 Sec50 ,NULL
SA-LTIA 52-1998 Sec51(1)(a),51.1.1
SA-LTIA 52-1998 Sec51(1)(b),51.1.2
SA-LTIA 52-1998 Sec51(2)(a),51.2.1
SA-LTIA 52-1998 Sec51(2)(b),51.2.2
SA-LTIA 52-1998 Sec51(3),51.3
SA-LTIA 52-1998 Sec52 ,NULL
SA-LTIA 52-1998 Sec53,53
SA-LTIA 52-1998 Sec54(1)(b),54.1.2
SA-LTIA 52-1998 Sec54(1)(a),54.1.1
SA-LTIA 52-1998 Sec54(1)(c),54.1.3
SA-LTIA 52-1998 Sec54(2),54.2
SA-LTIA 52-1998 Sec55(1)(a),55.1.1
SA-LTIA 52-1998 Sec55(1)(b),55.1.2
SA-LTIA 52-1998 Sec55(2),55.2
SA-LTIA 52-1998 Sec56,56
SA-LTIA 52-1998 Sec57(1),57.1
SA-LTIA 52-1998 Sec57(2),57.2
SA-LTIA 52-1998 Sec58,58
SA-LTIA 52-1998 Sec59,59
SA-LTIA 52-1998 Sec6,6
SA-LTIA 52-1998 Sec60,60
SA-LTIA 52-1998 Sec61,61
SA-LTIA 52-1998 Sec62(1)(a),62.1.1
SA-LTIA 52-1998 Sec62(1)(b),62.1.2
SA-LTIA 52-1998 Sec62(1)(c),62.1.3
SA-LTIA 52-1998 Sec62(2)(a),62.2.1
SA-LTIA 52-1998 Sec62(2)(b),62.2.2
SA-LTIA 52-1998 Sec62(2)(c),62.2.3
SA-LTIA 52-1998 Sec62(2)(d),62.2.4
SA-LTIA 52-1998 Sec62(2)(e),62.2.5
SA-LTIA 52-1998 Sec62(2)(f),62.2.6
SA-LTIA 52-1998 Sec62(2)(g),62.2.7
SA-LTIA 52-1998 Sec62(2)(h),62.2.8
SA-LTIA 52-1998 Sec62(2)(i),62.2.9
SA-LTIA 52-1998 Sec62(2)(j),62.2.10
SA-LTIA 52-1998 Sec62(2)(k),62.2.11
SA-LTIA 52-1998 Sec62(2)(l),62.2.12
SA-LTIA 52-1998 Sec62(2)(m),62.2.13
SA-LTIA 52-1998 Sec62(2)(n),62.2.14
SA-LTIA 52-1998 Sec62(2)(o),62.2.15
SA-LTIA 52-1998 Sec62(3)(a),62.3.1
SA-LTIA 52-1998 Sec62(3)(b),62.3.2
SA-LTIA 52-1998 Sec62(3)(c),62.3.3
SA-LTIA 52-1998 Sec62(4),62.4
SA-LTIA 52-1998 Sec62(5),62.5
SA-LTIA 52-1998 Sec63(1)(a),63.1.1
SA-LTIA 52-1998 Sec63(1)(b)(i),63.1.2.9
SA-LTIA 52-1998 Sec63(1)(b)(ii),63.1.2.34
SA-LTIA 52-1998 Sec63(2),63.2
SA-LTIA 52-1998 Sec63(3)(a),63.3.1
SA-LTIA 52-1998 Sec63(3)(b),63.3.2
SA-LTIA 52-1998 Sec63(4),63.4
